player_key,full_name,editorial_team_abbr,display_position,3PTM,AST,BLK,FG%,FGM/A,FT%,FTM/A,PTS,REB,ST,TO,editorial_player_key,editorial_team_full_name,editorial_team_key,editorial_team_url,eligible_positions,eligible_positions_to_add,has_player_notes,has_recent_player_notes,headshot,image_url,injury_note,is_keeper,is_undroppable,player_id,player_notes_last_timestamp,position_type,primary_position,status,status_full,uniform_number,url
454.p.6276,DaQuan Jeffries,CHA,SG,55,53,25,.405,118/291,.800,24/30,315,135,26,35,nba.p.6276,Charlotte Hornets,nba.t.30,https://sports.yahoo.com/nba/teams/charlotte/,"[{'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/0m8sIA7TAkz6.nsmvKAH9A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/12302024/6276.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/0m8sIA7TAkz6.nsmvKAH9A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/12302024/6276.png,,"{'status': False, 'cost': False, 'kept': False}",0,6276,,P,SG,,,3,https://sports.yahoo.com/nba/players/6276
454.p.6569,Cam Thomas,BKN,"SG,SF",68,94,2,.438,199/454,.881,133/151,599,83,15,62,nba.p.6569,Brooklyn Nets,nba.t.17,https://sports.yahoo.com/nba/teams/brooklyn/,"[{'position': 'SG'}, {'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",1.0,1.0,"{'url': 'https://s.yimg.com/iu/api/res/1.2/x7PZz80nPNZy.LeeS8Lp_Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232024/6569.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/x7PZz80nPNZy.LeeS8Lp_Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10232024/6569.png,Hamstring,"{'status': False, 'cost': False, 'kept': False}",0,6569,1751230668.0,P,SG,GTD,Game Time Decision,24,https://sports.yahoo.com/nba/players/6569
454.p.6109,Drew Eubanks,LAC,C,3,54,39,.593,115/194,.662,47/71,280,226,12,41,nba.p.6109,LA Clippers,nba.t.12,https://sports.yahoo.com/nba/teams/la-clippers/,"[{'position': 'C'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/bLeBQFu.dywfmTsNxsglVg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02042025/6109.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/bLeBQFu.dywfmTsNxsglVg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02042025/6109.png,,"{'status': False, 'cost': False, 'kept': False}",0,6109,,P,C,,,15,https://sports.yahoo.com/nba/players/6109
454.p.6053,Bruce Brown,NOP,"SG,SF",27,84,10,.421,130/309,.815,53/65,340,164,34,39,nba.p.6053,New Orleans Pelicans,nba.t.3,https://sports.yahoo.com/nba/teams/new-orleans/,"[{'position': 'SG'}, {'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/ZpWRTyWrzwxP_9XNxTcOew--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/03052025/6053.1.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/ZpWRTyWrzwxP_9XNxTcOew--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/03052025/6053.1.png,Knee,"{'status': False, 'cost': False, 'kept': False}",0,6053,,P,SG,GTD,Game Time Decision,00,https://sports.yahoo.com/nba/players/6053
454.p.10069,Mouhamed Gueye,ATL,"PF,C",21,27,33,.421,72/171,.762,32/42,197,139,28,15,nba.p.10069,Atlanta Hawks,nba.t.1,https://sports.yahoo.com/nba/teams/atlanta/,"[{'position': 'PF'}, {'position': 'F'}, {'position': 'C'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/IKXa3uB_W9VPU7Ntg20Wlg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10212024/10069.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/IKXa3uB_W9VPU7Ntg20Wlg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10212024/10069.png,,"{'status': False, 'cost': False, 'kept': False}",0,10069,,P,PF,,,18,https://sports.yahoo.com/nba/players/10069
454.p.5497,Richaun Holmes,WAS,C,0,42,23,.647,90/139,.833,50/60,230,177,9,21,nba.p.5497,Washington Wizards,nba.t.27,https://sports.yahoo.com/nba/teams/washington/,"[{'position': 'C'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/DtK3CisUudGkeae2mkh.7Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11012024/5497.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/DtK3CisUudGkeae2mkh.7Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11012024/5497.png,Shoulder,"{'status': False, 'cost': False, 'kept': False}",0,5497,,P,C,GTD,Game Time Decision,22,https://sports.yahoo.com/nba/players/5497
454.p.6747,Jabari Walker,POR,"SF,PF",28,37,6,.515,118/229,.690,49/71,313,211,33,34,nba.p.6747,Portland Trail Blazers,nba.t.22,https://sports.yahoo.com/nba/teams/portland/,"[{'position': 'SF'}, {'position': 'PF'}, {'position': 'F'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'F'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/6BOVV19ylm9IByPkAuAu2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6747.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/6BOVV19ylm9IByPkAuAu2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6747.png,,"{'status': False, 'cost': False, 'kept': False}",0,6747,,P,SF,,,34,https://sports.yahoo.com/nba/players/6747
454.p.6549,Jonathan Kuminga,GSW,"SF,PF",46,104,21,.454,258/568,.668,157/235,719,217,38,71,nba.p.6549,Golden State Warriors,nba.t.9,https://sports.yahoo.com/nba/teams/golden-state/,"[{'position': 'SF'}, {'position': 'PF'}, {'position': 'F'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'F'}, {'position': 'C'}]",1.0,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/Yh2zFo6EUDs2vagLnAMwlg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6549.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/Yh2zFo6EUDs2vagLnAMwlg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6549.png,,"{'status': False, 'cost': False, 'kept': False}",0,6549,1751149758.0,P,SF,,,00,https://sports.yahoo.com/nba/players/6549
454.p.10120,Nick Smith Jr.,CHA,"PG,SG",104,145,6,.391,222/568,.935,43/46,591,128,17,82,nba.p.10120,Charlotte Hornets,nba.t.30,https://sports.yahoo.com/nba/teams/charlotte/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/xbSxqtcSgecBcMyCCKabJQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242024/10120.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/xbSxqtcSgecBcMyCCKabJQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242024/10120.png,Groin,"{'status': False, 'cost': False, 'kept': False}",0,10120,,P,PG,GTD,Game Time Decision,8,https://sports.yahoo.com/nba/players/10120
454.p.6444,KJ Martin,UTA,"SF,PF",15,48,22,.552,111/201,.787,37/47,274,125,17,24,nba.p.6444,Utah Jazz,nba.t.26,https://sports.yahoo.com/nba/teams/utah/,"[{'position': 'SF'}, {'position': 'PF'}, {'position': 'F'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'F'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/uuQHXxFN5DiQqeBhcQixyA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02112025/6444.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/uuQHXxFN5DiQqeBhcQixyA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02112025/6444.png,Illness,"{'status': False, 'cost': False, 'kept': False}",0,6444,,P,SF,GTD,Game Time Decision,99,https://sports.yahoo.com/nba/players/6444
