rank,full_name,editorial_team_abbr,primary_position,Fantasy_Score,PTS,REB,AST,ST,BLK,3PTM,FG%,FT%,TO
122,Donte DiVincenzo,MIN,PG,5.384312392183398,723,228,225,73,17,174,42,78,99
123,Jonas Valančiūnas,SAC,C,5.381255806465595,843,627,164,37,46,8,55,88,120
124,Dennis Schröder,DET,PG,5.371012026272239,980,198,404,66,12,127,41,84,142
125,Luke Kornet,BOS,C,5.261726002392761,441,388,117,36,71,0,67,69,31
126,Nickeil Alexander-Walker,MIN,SG,5.212939469356071,773,265,223,50,34,141,44,78,99
127,Kel'el Ware,MIA,PF,5.210792547695265,595,473,60,39,71,35,55,69,57
128,Keon Johnson,BKN,PG,5.202541621487425,839,297,175,82,30,126,39,77,116
129,Taurean Prince,MIL,SG,5.194322412970911,656,287,155,76,15,147,46,81,82
130,Brandin Podziemski,GSW,PG,5.159477223788139,747,325,220,69,13,115,44,76,75
131,Peyton Watson,DEN,SF,5.103671835103666,551,233,94,48,93,48,48,69,56
132,Stephon Castle,SAS,PG,5.084535094954011,1190,297,332,74,22,95,43,72,177
133,Obi Toppin,IND,PF,5.009553855109316,833,318,128,46,28,110,53,78,68
134,Ty Jerome,CLE,PG,4.97409633094947,878,173,237,78,3,111,52,87,92
135,Gary Trent Jr.,MIL,PG,4.951497161820966,824,168,87,72,4,180,43,85,42
136,Guerschon Yabusele,PHI,PF,4.922941117671864,768,395,148,58,24,104,50,72,87
137,Kyshawn George,WAS,SG,4.90892109246079,590,285,169,68,50,114,37,75,97
138,Keyonte George,UTA,PG,4.874703142574409,1125,253,377,46,9,174,39,82,183
139,Matas Buzelis,CHI,SF,4.86992281043453,688,278,79,29,75,96,45,82,74
140,Isaiah Joe,OKC,PG,4.8685075078817945,756,196,119,48,9,192,44,82,38
141,De'Andre Hunter,CLE,SF,4.853173972207214,1088,258,92,50,13,157,47,85,82
142,Max Christie,DAL,SG,4.810824671804557,749,258,146,64,31,115,43,86,88
143,Caris LeVert,ATL,SG,4.766275051698182,776,203,215,57,33,106,47,71,76
144,Anthony Black,ORL,PG,4.686573353877108,736,230,240,86,48,62,42,76,139
145,Sam Hauser,BOS,SF,4.658682015165423,605,224,64,41,13,166,45,100,23
146,Keldon Johnson,SAS,SG,4.629875950742676,979,371,125,49,22,87,48,77,77
147,RJ Barrett,TOR,SG,4.612944150049611,1223,366,314,46,17,107,47,63,165
148,Derrick Jones Jr.,LAC,SF,4.600635518370028,781,263,60,79,33,78,53,70,66
149,Jonathan Isaac,ORL,SF,4.522256554949234,380,314,40,61,80,39,41,68,33
150,Bradley Beal,PHX,PG,4.515721819924897,902,177,195,58,28,102,50,80,99
